problem_name,algo_name,Noise_type,Noise_intensity,Max_fitness,Min_fitness,Final_fitness
OneMax_100item,UMDA,post,0,100.0,65.0,100.0
OneMax_100item,UMDA,post,0,100.0,66.0,100.0
OneMax_100item,UMDA,post,0,100.0,65.0,100.0
OneMax_100item,UMDA,post,0,100.0,65.0,100.0
OneMax_100item,UMDA,post,0,100.0,67.0,100.0
OneMax_100item,UMDA,post,0,100.0,67.0,100.0
OneMax_100item,UMDA,post,0,100.0,65.0,100.0
OneMax_100item,UMDA,post,0,100.0,65.0,100.0
OneMax_100item,UMDA,post,0,100.0,65.0,100.0
OneMax_100item,UMDA,post,0,100.0,65.0,100.0
OneMax_100item,UMDA,post,0,100.0,65.0,100.0
OneMax_100item,UMDA,post,0,100.0,65.0,100.0
OneMax_100item,UMDA,post,0,100.0,69.0,100.0
OneMax_100item,UMDA,post,0,100.0,66.0,100.0
OneMax_100item,UMDA,post,0,100.0,65.0,100.0
OneMax_100item,UMDA,post,0,100.0,65.0,100.0
OneMax_100item,UMDA,post,0,100.0,65.0,100.0
OneMax_100item,UMDA,post,0,100.0,69.0,100.0
OneMax_100item,UMDA,post,0,100.0,67.0,100.0
OneMax_100item,UMDA,post,0,100.0,66.0,100.0
OneMax_100item,UMDA,post,0,100.0,66.0,100.0
OneMax_100item,UMDA,post,0,100.0,67.0,100.0
OneMax_100item,UMDA,post,0,100.0,63.0,100.0
OneMax_100item,UMDA,post,0,100.0,69.0,100.0
OneMax_100item,UMDA,post,0,100.0,65.0,100.0
OneMax_100item,UMDA,post,0,100.0,67.0,100.0
OneMax_100item,UMDA,post,0,100.0,63.0,100.0
OneMax_100item,UMDA,post,0,100.0,66.0,100.0
OneMax_100item,UMDA,post,0,100.0,65.0,100.0
OneMax_100item,UMDA,post,0,100.0,66.0,100.0
OneMax_100item,UMDA,post,0,100.0,65.0,100.0
OneMax_100item,UMDA,post,0,100.0,66.0,100.0
OneMax_100item,UMDA,post,0,100.0,67.0,100.0
OneMax_100item,UMDA,post,0,100.0,66.0,100.0
OneMax_100item,UMDA,post,0,100.0,68.0,100.0
OneMax_100item,UMDA,post,0,100.0,68.0,100.0
OneMax_100item,UMDA,post,0,100.0,68.0,100.0
OneMax_100item,UMDA,post,0,100.0,66.0,100.0
OneMax_100item,UMDA,post,0,100.0,67.0,100.0
OneMax_100item,UMDA,post,0,100.0,66.0,100.0
OneMax_100item,UMDA,post,0,100.0,64.0,100.0
OneMax_100item,UMDA,post,0,100.0,65.0,100.0
OneMax_100item,UMDA,post,0,100.0,72.0,100.0
OneMax_100item,UMDA,post,0,100.0,67.0,100.0
OneMax_100item,UMDA,post,0,100.0,66.0,100.0
OneMax_100item,UMDA,post,0,100.0,66.0,100.0
OneMax_100item,UMDA,post,0,100.0,67.0,100.0
OneMax_100item,UMDA,post,0,100.0,64.0,100.0
OneMax_100item,UMDA,post,0,100.0,67.0,100.0
OneMax_100item,UMDA,post,0,100.0,64.0,100.0
OneMax_100item,UMDA,post,0,100.0,65.0,100.0
OneMax_100item,UMDA,post,0,100.0,69.0,100.0
OneMax_100item,UMDA,post,0,100.0,65.0,100.0
OneMax_100item,UMDA,post,0,100.0,68.0,100.0
OneMax_100item,UMDA,post,0,100.0,66.0,100.0
OneMax_100item,UMDA,post,0,100.0,67.0,100.0
OneMax_100item,UMDA,post,0,100.0,68.0,100.0
OneMax_100item,UMDA,post,0,100.0,65.0,100.0
OneMax_100item,UMDA,post,0,100.0,66.0,100.0
OneMax_100item,UMDA,post,0,100.0,65.0,100.0
OneMax_100item,UMDA,post,0,100.0,66.0,100.0
OneMax_100item,UMDA,post,0,100.0,67.0,100.0
OneMax_100item,UMDA,post,0,100.0,67.0,100.0
OneMax_100item,UMDA,post,0,100.0,65.0,100.0
OneMax_100item,UMDA,post,0,100.0,65.0,100.0
OneMax_100item,UMDA,post,0,100.0,65.0,100.0
OneMax_100item,UMDA,post,0,100.0,67.0,100.0
OneMax_100item,UMDA,post,0,100.0,64.0,100.0
