problem_name,problem_type,problem_goal,dimensions,opt_global,mean_value,mean_weight,PID,fit_func,noise,algo_type,algo_name,n_gens,n_evals,stop_trigger,n_unique_sols,unique_sols,unique_fits,noisy_fits,final_fit,max_fit,min_fit,sol_iterations,sol_transitions,seed,seed_signature
knapsack,discrete,maximise,10,295.0,41.2,53.9,knapsack_10,eval_noisy_kp_v1,3,(1+1)EA,(1+1)EA,44476,44477,eval_limit,6,"[[0, 1, 0, 1, 1, 1, 1, 0, 0, 1], [0, 1, 0, 1, 0, 1, 1, 0, 0, 1], [0, 1, 0, 1, 0, 1, 0, 0, 0, 1], [0, 1, 1, 1, 0, 1, 0, 0, 0, 1], [0, 1, 0, 0, 0, 1, 1, 0, 0, 1], [0, 1, 0, 0, 0, 1, 1, 0, 1, 1]]","[164.0, 160.0, 152.0, 199.0, 155.0, 240.0]","[466.49164158604, 578.3792366090935, 614.036874510829, 624.0053773196013, 770.9556632893946, 856.2327384526428]",240.0,240.0,152.0,"[292, 13968, 139, 28, 4172, 25878]","[((0, 1, 0, 1, 1, 1, 1, 0, 0, 1), (0, 1, 0, 1, 0, 1, 1, 0, 0, 1)), ((0, 1, 0, 1, 0, 1, 1, 0, 0, 1), (0, 1, 0, 1, 0, 1, 0, 0, 0, 1)), ((0, 1, 0, 1, 0, 1, 0, 0, 0, 1), (0, 1, 1, 1, 0, 1, 0, 0, 0, 1)), ((0, 1, 1, 1, 0, 1, 0, 0, 0, 1), (0, 1, 0, 0, 0, 1, 1, 0, 0, 1)), ((0, 1, 0, 0, 0, 1, 1, 0, 0, 1), (0, 1, 0, 0, 0, 1, 1, 0, 1, 1))]",1,140891
knapsack,discrete,maximise,10,295.0,41.2,53.9,knapsack_10,eval_noisy_kp_v1,3,(1+1)EA,(1+1)EA,44476,44477,eval_limit,9,"[[0, 0, 0, 1, 0, 1, 1, 0, 0, 0], [0, 0, 0, 1, 0, 1, 0, 0, 0, 0], [0, 0, 0, 1, 1, 1, 0, 0, 0, 0], [0, 1, 0, 1, 1, 1, 0, 0, 0, 0], [0, 1, 1, 1, 1, 1, 0, 0, 0, 1], [0, 1, 1, 1, 1, 0, 0, 0, 0, 1], [0, 1, 1, 0, 1, 0, 0, 0, 0, 1], [0, 1, 1, 1, 1, 0, 0, 0, 1, 1], [0, 1, 0, 1, 1, 1, 0, 0, 1, 1]]","[63.0, 55.0, 59.0, 69.0, 203.0, 153.0, 148.0, 238.0, 241.0]","[293.66047648754187, 403.74624403642844, 444.0773755028855, 452.00376033837784, 479.62127565356155, 620.1079266511358, 642.7118888172838, 686.3873909550734, 895.5512119936149]",241.0,241.0,55.0,"[7, 17, 86, 29, 145, 1179, 122, 6130, 36762]","[((0, 0, 0, 1, 0, 1, 1, 0, 0, 0), (0, 0, 0, 1, 0, 1, 0, 0, 0, 0)), ((0, 0, 0, 1, 0, 1, 0, 0, 0, 0), (0, 0, 0, 1, 1, 1, 0, 0, 0, 0)), ((0, 0, 0, 1, 1, 1, 0, 0, 0, 0), (0, 1, 0, 1, 1, 1, 0, 0, 0, 0)), ((0, 1, 0, 1, 1, 1, 0, 0, 0, 0), (0, 1, 1, 1, 1, 1, 0, 0, 0, 1)), ((0, 1, 1, 1, 1, 1, 0, 0, 0, 1), (0, 1, 1, 1, 1, 0, 0, 0, 0, 1)), ((0, 1, 1, 1, 1, 0, 0, 0, 0, 1), (0, 1, 1, 0, 1, 0, 0, 0, 0, 1)), ((0, 1, 1, 0, 1, 0, 0, 0, 0, 1), (0, 1, 1, 1, 1, 0, 0, 0, 1, 1)), ((0, 1, 1, 1, 1, 0, 0, 0, 1, 1), (0, 1, 0, 1, 1, 1, 0, 0, 1, 1))]",2,905035
knapsack,discrete,maximise,10,295.0,41.2,53.9,knapsack_10,eval_noisy_kp_v1,3,(1+1)EA,(1+1)EA,44476,44477,eval_limit,6,"[[0, 1, 1, 0, 0, 1, 1, 0, 0, 1], [0, 1, 1, 0, 0, 0, 1, 1, 0, 1], [0, 1, 1, 0, 0, 0, 0, 0, 0, 1], [0, 1, 1, 0, 0, 0, 0, 0, 1, 1], [0, 1, 1, 0, 0, 0, 0, 1, 1, 1], [0, 0, 0, 0, 0, 1, 0, 1, 1, 1]]","[202.0, 213.0, 144.0, 229.0, 290.0, 283.0]","[4.4906920510128145, 374.6814169041267, 553.1492193364493, 568.2490343047996, 786.6819185994802, 836.7015357711958]",283.0,290.0,144.0,"[5, 1, 54, 449, 1338, 42630]","[((0, 1, 1, 0, 0, 1, 1, 0, 0, 1), (0, 1, 1, 0, 0, 0, 1, 1, 0, 1)), ((0, 1, 1, 0, 0, 0, 1, 1, 0, 1), (0, 1, 1, 0, 0, 0, 0, 0, 0, 1)), ((0, 1, 1, 0, 0, 0, 0, 0, 0, 1), (0, 1, 1, 0, 0, 0, 0, 0, 1, 1)), ((0, 1, 1, 0, 0, 0, 0, 0, 1, 1), (0, 1, 1, 0, 0, 0, 0, 1, 1, 1)), ((0, 1, 1, 0, 0, 0, 0, 1, 1, 1), (0, 0, 0, 0, 0, 1, 0, 1, 1, 1))]",3,249523
knapsack,discrete,maximise,10,295.0,41.2,53.9,knapsack_10,eval_noisy_kp_v1,3,(1+1)EA,(1+1)EA,44476,44477,eval_limit,9,"[[1, 0, 1, 1, 0, 0, 0, 0, 1, 1], [0, 0, 1, 1, 0, 0, 1, 0, 1, 1], [0, 0, 1, 0, 0, 0, 1, 0, 1, 1], [0, 0, 1, 0, 0, 0, 0, 0, 1, 1], [0, 0, 1, 0, 0, 0, 0, 1, 1, 1], [0, 0, 1, 0, 0, 0, 1, 1, 1, 0], [0, 0, 1, 0, 0, 0, 1, 0, 1, 0], [0, 1, 1, 0, 0, 0, 1, 0, 1, 1], [0, 1, 1, 0, 0, 1, 0, 0, 1, 1]]","[-29.0, -14.0, 227.0, 219.0, 280.0, 201.0, 140.0, 237.0, 279.0]","[-29.0, -14.0, 155.53329255468256, 311.6252988423687, 454.18100947828805, 633.4490491166546, 705.3680144358442, 796.8223531793167, 840.1994219353693]",279.0,280.0,-29.0,"[2, 2, 14683, 6, 218, 2036, 4050, 6070, 17410]","[((1, 0, 1, 1, 0, 0, 0, 0, 1, 1), (0, 0, 1, 1, 0, 0, 1, 0, 1, 1)), ((0, 0, 1, 1, 0, 0, 1, 0, 1, 1), (0, 0, 1, 0, 0, 0, 1, 0, 1, 1)), ((0, 0, 1, 0, 0, 0, 1, 0, 1, 1), (0, 0, 1, 0, 0, 0, 0, 0, 1, 1)), ((0, 0, 1, 0, 0, 0, 0, 0, 1, 1), (0, 0, 1, 0, 0, 0, 0, 1, 1, 1)), ((0, 0, 1, 0, 0, 0, 0, 1, 1, 1), (0, 0, 1, 0, 0, 0, 1, 1, 1, 0)), ((0, 0, 1, 0, 0, 0, 1, 1, 1, 0), (0, 0, 1, 0, 0, 0, 1, 0, 1, 0)), ((0, 0, 1, 0, 0, 0, 1, 0, 1, 0), (0, 1, 1, 0, 0, 0, 1, 0, 1, 1)), ((0, 1, 1, 0, 0, 0, 1, 0, 1, 1), (0, 1, 1, 0, 0, 1, 0, 0, 1, 1))]",4,247514
knapsack,discrete,maximise,10,295.0,41.2,53.9,knapsack_10,eval_noisy_kp_v1,3,(1+1)EA,(1+1)EA,44476,44477,eval_limit,5,"[[1, 1, 0, 1, 0, 0, 0, 0, 1, 1], [0, 1, 0, 1, 1, 0, 0, 0, 1, 1], [0, 1, 1, 1, 1, 0, 0, 0, 1, 1], [0, 1, 1, 1, 0, 0, 0, 0, 1, 1], [0, 0, 1, 1, 1, 0, 0, 0, 1, 1]]","[242.0, 191.0, 238.0, 234.0, 228.0]","[349.2387503476702, 445.72693341497404, 646.7465864208973, 669.8418900721805, 836.8759929153282]",228.0,242.0,191.0,"[11, 15, 383, 669, 43399]","[((1, 1, 0, 1, 0, 0, 0, 0, 1, 1), (0, 1, 0, 1, 1, 0, 0, 0, 1, 1)), ((0, 1, 0, 1, 1, 0, 0, 0, 1, 1), (0, 1, 1, 1, 1, 0, 0, 0, 1, 1)), ((0, 1, 1, 1, 1, 0, 0, 0, 1, 1), (0, 1, 1, 1, 0, 0, 0, 0, 1, 1)), ((0, 1, 1, 1, 0, 0, 0, 0, 1, 1), (0, 0, 1, 1, 1, 0, 0, 0, 1, 1))]",5,653159
knapsack,discrete,maximise,10,295.0,41.2,53.9,knapsack_10,eval_noisy_kp_v1,3,(1+1)EA,(1+1)EA,44476,44477,eval_limit,7,"[[0, 1, 1, 0, 0, 0, 1, 1, 1, 0], [0, 1, 0, 0, 0, 0, 1, 1, 0, 0], [0, 1, 0, 0, 0, 1, 1, 1, 0, 0], [0, 1, 0, 0, 0, 1, 1, 1, 0, 1], [0, 1, 0, 0, 0, 1, 0, 1, 0, 1], [0, 1, 0, 1, 0, 1, 0, 1, 0, 1], [0, 1, 0, 1, 1, 1, 0, 1, 0, 1]]","[-2.0, 79.0, 129.0, 216.0, 208.0, 213.0, 217.0]","[-2.0, 232.0518136588287, 410.53892419779373, 480.25679664827254, 529.1958181948489, 777.655211006632, 890.955426114635]",217.0,217.0,-2.0,"[1, 2, 15, 3, 89, 7701, 36666]","[((0, 1, 1, 0, 0, 0, 1, 1, 1, 0), (0, 1, 0, 0, 0, 0, 1, 1, 0, 0)), ((0, 1, 0, 0, 0, 0, 1, 1, 0, 0), (0, 1, 0, 0, 0, 1, 1, 1, 0, 0)), ((0, 1, 0, 0, 0, 1, 1, 1, 0, 0), (0, 1, 0, 0, 0, 1, 1, 1, 0, 1)), ((0, 1, 0, 0, 0, 1, 1, 1, 0, 1), (0, 1, 0, 0, 0, 1, 0, 1, 0, 1)), ((0, 1, 0, 0, 0, 1, 0, 1, 0, 1), (0, 1, 0, 1, 0, 1, 0, 1, 0, 1)), ((0, 1, 0, 1, 0, 1, 0, 1, 0, 1), (0, 1, 0, 1, 1, 1, 0, 1, 0, 1))]",6,831877
knapsack,discrete,maximise,10,295.0,41.2,53.9,knapsack_10,eval_noisy_kp_v1,3,(1+1)EA,(1+1)EA,44476,44477,eval_limit,6,"[[0, 1, 0, 0, 0, 1, 0, 0, 0, 0], [0, 0, 0, 0, 0, 1, 1, 0, 1, 0], [0, 0, 0, 0, 0, 1, 1, 0, 1, 1], [0, 1, 0, 0, 0, 1, 1, 0, 1, 1], [0, 1, 1, 0, 0, 0, 1, 0, 1, 1], [0, 1, 0, 0, 0, 0, 1, 0, 1, 1]]","[60.0, 143.0, 230.0, 240.0, 237.0, 190.0]","[3.7336601013352535, 61.97099928244664, 332.2071330716985, 490.948272333624, 563.7509391085298, 667.5770652320484]",190.0,240.0,60.0,"[1, 1, 6, 24, 220, 44225]","[((0, 1, 0, 0, 0, 1, 0, 0, 0, 0), (0, 0, 0, 0, 0, 1, 1, 0, 1, 0)), ((0, 0, 0, 0, 0, 1, 1, 0, 1, 0), (0, 0, 0, 0, 0, 1, 1, 0, 1, 1)), ((0, 0, 0, 0, 0, 1, 1, 0, 1, 1), (0, 1, 0, 0, 0, 1, 1, 0, 1, 1)), ((0, 1, 0, 0, 0, 1, 1, 0, 1, 1), (0, 1, 1, 0, 0, 0, 1, 0, 1, 1)), ((0, 1, 1, 0, 0, 0, 1, 0, 1, 1), (0, 1, 0, 0, 0, 0, 1, 0, 1, 1))]",7,339563
knapsack,discrete,maximise,10,295.0,41.2,53.9,knapsack_10,eval_noisy_kp_v1,3,(1+1)EA,(1+1)EA,44476,44477,eval_limit,4,"[[1, 1, 0, 0, 0, 0, 0, 0, 0, 1], [1, 1, 0, 0, 1, 0, 0, 0, 0, 1], [1, 1, 0, 0, 1, 0, 0, 0, 1, 1], [1, 1, 1, 1, 1, 0, 0, 0, 0, 1]]","[152.0, 156.0, 241.0, 208.0]","[39.3564301000288, 435.68678109082117, 482.6496094492453, 698.3984353149835]",208.0,241.0,152.0,"[5, 1209, 125, 43138]","[((1, 1, 0, 0, 0, 0, 0, 0, 0, 1), (1, 1, 0, 0, 1, 0, 0, 0, 0, 1)), ((1, 1, 0, 0, 1, 0, 0, 0, 0, 1), (1, 1, 0, 0, 1, 0, 0, 0, 1, 1)), ((1, 1, 0, 0, 1, 0, 0, 0, 1, 1), (1, 1, 1, 1, 1, 0, 0, 0, 0, 1))]",8,237718
knapsack,discrete,maximise,10,295.0,41.2,53.9,knapsack_10,eval_noisy_kp_v1,3,(1+1)EA,(1+1)EA,44476,44477,eval_limit,7,"[[1, 1, 0, 0, 0, 1, 1, 0, 1, 0], [1, 1, 0, 0, 0, 1, 0, 0, 1, 0], [1, 0, 1, 0, 0, 1, 0, 0, 0, 0], [1, 1, 1, 1, 0, 1, 0, 0, 0, 0], [1, 1, 1, 1, 0, 0, 0, 0, 0, 0], [1, 1, 1, 1, 0, 0, 0, 0, 0, 1], [1, 1, 0, 1, 1, 0, 0, 1, 0, 1]]","[-47.0, 200.0, 152.0, 167.0, 117.0, 204.0, 222.0]","[-47.0, 35.077595697726395, 255.6093539390126, 276.7442331970929, 681.8610580255653, 762.1203035014271, 791.3056547297426]",222.0,222.0,-47.0,"[3, 1, 21, 2633, 9316, 26375, 6128]","[((1, 1, 0, 0, 0, 1, 1, 0, 1, 0), (1, 1, 0, 0, 0, 1, 0, 0, 1, 0)), ((1, 1, 0, 0, 0, 1, 0, 0, 1, 0), (1, 0, 1, 0, 0, 1, 0, 0, 0, 0)), ((1, 0, 1, 0, 0, 1, 0, 0, 0, 0), (1, 1, 1, 1, 0, 1, 0, 0, 0, 0)), ((1, 1, 1, 1, 0, 1, 0, 0, 0, 0), (1, 1, 1, 1, 0, 0, 0, 0, 0, 0)), ((1, 1, 1, 1, 0, 0, 0, 0, 0, 0), (1, 1, 1, 1, 0, 0, 0, 0, 0, 1)), ((1, 1, 1, 1, 0, 0, 0, 0, 0, 1), (1, 1, 0, 1, 1, 0, 0, 1, 0, 1))]",9,485498
knapsack,discrete,maximise,10,295.0,41.2,53.9,knapsack_10,eval_noisy_kp_v1,3,(1+1)EA,(1+1)EA,9715,9716,target_reached,8,"[[0, 1, 1, 0, 0, 1, 1, 1, 0, 0], [0, 1, 1, 0, 1, 0, 1, 1, 0, 0], [0, 1, 1, 1, 1, 0, 1, 1, 0, 0], [0, 1, 1, 1, 1, 0, 0, 1, 0, 1], [0, 1, 1, 1, 0, 0, 0, 1, 0, 1], [0, 1, 1, 1, 0, 0, 0, 0, 0, 1], [0, 1, 1, 1, 0, 0, 0, 0, 1, 1], [0, 1, 1, 1, 0, 0, 0, 1, 1, 1]]","[-9.0, 130.0, 135.0, 214.0, 210.0, 149.0, 234.0, 295.0]","[-9.0, 242.71180051432654, 315.65947929130357, 552.0339222741857, 594.8767547417872, 784.0433531508871, 792.7982711857386, 840.5948664366255]",295.0,295.0,-9.0,"[2, 6, 3, 72, 7314, 405, 1913, 1]","[((0, 1, 1, 0, 0, 1, 1, 1, 0, 0), (0, 1, 1, 0, 1, 0, 1, 1, 0, 0)), ((0, 1, 1, 0, 1, 0, 1, 1, 0, 0), (0, 1, 1, 1, 1, 0, 1, 1, 0, 0)), ((0, 1, 1, 1, 1, 0, 1, 1, 0, 0), (0, 1, 1, 1, 1, 0, 0, 1, 0, 1)), ((0, 1, 1, 1, 1, 0, 0, 1, 0, 1), (0, 1, 1, 1, 0, 0, 0, 1, 0, 1)), ((0, 1, 1, 1, 0, 0, 0, 1, 0, 1), (0, 1, 1, 1, 0, 0, 0, 0, 0, 1)), ((0, 1, 1, 1, 0, 0, 0, 0, 0, 1), (0, 1, 1, 1, 0, 0, 0, 0, 1, 1)), ((0, 1, 1, 1, 0, 0, 0, 0, 1, 1), (0, 1, 1, 1, 0, 0, 0, 1, 1, 1))]",10,599159
